rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
17/03/2020 10:17,2019,1,1,London Area Airports,GATWICK,282896,196744,51381,20972,12933,749,117
17/03/2020 10:17,2019,1,1,London Area Airports,HEATHROW,479811,265569,94727,118153,561,796,5
17/03/2020 10:17,2019,1,1,London Area Airports,LONDON CITY,80931,51826,24038,5057,3,6,1
17/03/2020 10:17,2019,1,1,London Area Airports,LUTON,112745,65328,43785,2282,1246,69,35
17/03/2020 10:17,2019,1,1,London Area Airports,SOUTHEND,19162,10043,9065,52,0,2,0
17/03/2020 10:17,2019,1,1,London Area Airports,STANSTED,183566,36589,129967,12511,4244,158,97
17/03/2020 10:17,2019,1,3,Other UK Airports,ABERDEEN,78209,28118,9397,2523,34677,3489,5
17/03/2020 10:17,2019,1,3,Other UK Airports,BARRA,1366,1366,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),34625,30917,3639,2,30,30,7
17/03/2020 10:17,2019,1,3,Other UK Airports,BELFAST INTERNATIONAL,47228,37994,6764,41,1689,686,54
17/03/2020 10:17,2019,1,3,Other UK Airports,BENBECULA,1974,1920,0,0,54,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,BIGGIN HILL,325,0,0,0,13,308,4
17/03/2020 10:17,2019,1,3,Other UK Airports,BIRMINGHAM,102515,48766,38783,7567,7122,198,79
17/03/2020 10:17,2019,1,3,Other UK Airports,BLACKPOOL,4014,0,0,0,4014,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,BOURNEMOUTH,4973,304,3379,87,1058,74,71
17/03/2020 10:17,2019,1,3,Other UK Airports,BRISTOL,62556,38643,18771,4,4812,246,80
17/03/2020 10:17,2019,1,3,Other UK Airports,CAMPBELTOWN,1064,1064,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,CARDIFF WALES,16688,8578,3899,608,3472,126,5
17/03/2020 10:17,2019,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),3063,2183,878,0,2,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,DONCASTER SHEFFIELD,9520,2822,3778,176,2624,80,40
17/03/2020 10:17,2019,1,3,Other UK Airports,DUNDEE,1212,1135,0,0,5,66,6
17/03/2020 10:17,2019,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56219,21123,26747,2415,2846,3008,80
17/03/2020 10:17,2019,1,3,Other UK Airports,EDINBURGH,127335,78211,40435,7022,1291,365,11
17/03/2020 10:17,2019,1,3,Other UK Airports,EXETER,14528,12221,473,0,1699,54,81
17/03/2020 10:17,2019,1,3,Other UK Airports,GLASGOW,79276,61245,11488,3929,2392,184,38
17/03/2020 10:17,2019,1,3,Other UK Airports,HUMBERSIDE,7341,1687,2033,0,3487,133,1
17/03/2020 10:17,2019,1,3,Other UK Airports,INVERNESS,12733,11228,1184,0,218,83,20
17/03/2020 10:17,2019,1,3,Other UK Airports,ISLAY,2021,2021,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10734,10734,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,KIRKWALL,11256,11248,0,0,8,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,LANDS END (ST JUST),8310,8310,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,LEEDS BRADFORD,29746,18602,10848,0,197,63,36
17/03/2020 10:17,2019,1,3,Other UK Airports,LERWICK (TINGWALL),904,904,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),34976,19516,14740,153,151,293,123
17/03/2020 10:17,2019,1,3,Other UK Airports,LYDD,13,0,0,0,1,10,2
17/03/2020 10:17,2019,1,3,Other UK Airports,MANCHESTER,195926,102604,62807,18530,11319,517,149
17/03/2020 10:17,2019,1,3,Other UK Airports,NEWCASTLE,40169,28663,10221,730,80,56,419
17/03/2020 10:17,2019,1,3,Other UK Airports,NEWQUAY,8206,7007,1188,0,4,7,0
17/03/2020 10:17,2019,1,3,Other UK Airports,NORWICH,19729,5208,2435,0,11102,984,0
17/03/2020 10:17,2019,1,3,Other UK Airports,PRESTWICK,4619,46,4432,0,30,47,64
17/03/2020 10:17,2019,1,3,Other UK Airports,SCATSTA,4820,0,0,0,4820,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,SOUTHAMPTON,32529,31833,379,94,103,120,0
17/03/2020 10:17,2019,1,3,Other UK Airports,STORNOWAY,5876,5750,0,0,124,2,0
17/03/2020 10:17,2019,1,3,Other UK Airports,SUMBURGH,12600,6589,0,0,6005,6,0
17/03/2020 10:17,2019,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,3630,1764,1804,0,16,46,0
17/03/2020 10:17,2019,1,3,Other UK Airports,TIREE,1600,1600,0,0,0,0,0
17/03/2020 10:17,2019,1,3,Other UK Airports,WICK JOHN O GROATS,1397,1396,0,0,0,1,0
17/03/2020 10:17,2019,2,4,Non UK Reporting Airports,ALDERNEY,4702,4702,0,0,0,0,0
17/03/2020 10:17,2019,2,4,Non UK Reporting Airports,GUERNSEY,23030,20946,46,0,1058,980,0
17/03/2020 10:17,2019,2,4,Non UK Reporting Airports,ISLE OF MAN,13530,11700,1226,0,63,541,0
17/03/2020 10:17,2019,2,4,Non UK Reporting Airports,JERSEY,24972,23906,513,0,186,367,0

