rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
17/03/2020 10:20,2019,London Area Airports,GATWICK,189535,179244,179244,10291,10291,65656,62316,62268,3340,3340,27705,27537,27537,168,168
17/03/2020 10:20,2019,London Area Airports,HEATHROW,211299,210021,209163,1278,504,226956,226874,225781,82,81,41556,41554,41552,2,2
17/03/2020 10:20,2019,London Area Airports,LONDON CITY,53169,53160,53160,9,9,9097,9097,9097,0,0,18665,18664,18664,1,1
17/03/2020 10:20,2019,London Area Airports,LUTON,89165,87964,86062,1201,1201,14643,14499,14284,144,144,8937,8932,8932,5,5
17/03/2020 10:20,2019,London Area Airports,SOUTHEND,15338,15336,15336,2,2,310,310,310,0,0,3514,3514,3514,0,0
17/03/2020 10:20,2019,London Area Airports,STANSTED,149773,147758,143147,2015,1941,18112,17785,14589,327,275,15681,13524,12981,2157,6
17/03/2020 10:20,2019,Other UK Airports,ABERDEEN,8576,7939,7937,637,637,37109,4405,4399,32704,32232,32524,27694,27295,4830,4049
17/03/2020 10:20,2019,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1366,1366,1365,0,0
17/03/2020 10:20,2019,Other UK Airports,BELFAST CITY (GEORGE BEST),1428,1396,1396,32,32,13,0,0,13,13,33184,33162,33162,22,22
17/03/2020 10:20,2019,Other UK Airports,BELFAST INTERNATIONAL,14525,13096,12422,1429,1140,832,568,564,264,251,31873,31135,28559,738,48
17/03/2020 10:20,2019,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,1974,1920,1917,54,0
17/03/2020 10:20,2019,Other UK Airports,BIGGIN HILL,228,0,0,228,228,67,0,0,67,67,30,0,0,30,30
17/03/2020 10:20,2019,Other UK Airports,BIRMINGHAM,71155,65207,63629,5948,5892,10568,9168,9167,1400,1392,20792,20741,20183,51,25
17/03/2020 10:20,2019,Other UK Airports,BLACKPOOL,0,0,0,0,0,4014,0,0,4014,4014,0,0,0,0,0
17/03/2020 10:20,2019,Other UK Airports,BOURNEMOUTH,4486,3396,3396,1090,1090,272,185,185,87,87,215,189,189,26,26
17/03/2020 10:20,2019,Other UK Airports,BRISTOL,47000,42872,42872,4128,4128,3743,3100,3100,643,643,11813,11446,11446,367,367
17/03/2020 10:20,2019,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,1064,1064,1063,0,0
17/03/2020 10:20,2019,Other UK Airports,CARDIFF WALES,10600,7620,7620,2980,2979,1202,667,667,535,535,4886,4798,4798,88,88
17/03/2020 10:20,2019,Other UK Airports,CITY OF DERRY (EGLINTON),0,0,0,0,0,2,0,0,2,2,3061,3061,3061,0,0
17/03/2020 10:20,2019,Other UK Airports,DONCASTER SHEFFIELD,7993,5597,5560,2396,2374,535,203,53,332,292,992,976,976,16,15
17/03/2020 10:20,2019,Other UK Airports,DUNDEE,14,0,0,14,14,28,0,0,28,28,1170,1135,1135,35,35
17/03/2020 10:20,2019,Other UK Airports,EAST MIDLANDS INTERNATIONAL,39408,34244,22807,5164,2730,2979,2686,752,293,211,13832,13355,6326,477,25
17/03/2020 10:20,2019,Other UK Airports,EDINBURGH,54073,52771,51703,1302,1279,9886,9715,9715,171,171,63376,63182,59335,194,16
17/03/2020 10:20,2019,Other UK Airports,EXETER,5727,4485,4485,1242,1242,128,38,38,90,90,8673,8171,8171,502,6
17/03/2020 10:20,2019,Other UK Airports,GLASGOW,26281,24077,23699,2204,2200,5483,5102,5100,381,381,47512,47483,47203,29,24
17/03/2020 10:20,2019,Other UK Airports,HUMBERSIDE,2189,2035,2034,154,153,3413,0,0,3413,3290,1739,1685,1684,54,54
17/03/2020 10:20,2019,Other UK Airports,INVERNESS,1765,1738,1738,27,27,71,48,48,23,23,10897,10626,10626,271,11
17/03/2020 10:20,2019,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,2021,2021,2021,0,0
17/03/2020 10:20,2019,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,10734,10734,9782,0,0
17/03/2020 10:20,2019,Other UK Airports,KIRKWALL,0,0,0,0,0,20,18,18,2,2,11236,11230,11186,6,6
17/03/2020 10:20,2019,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,8310,8310,7389,0,0
17/03/2020 10:20,2019,Other UK Airports,LEEDS BRADFORD,23410,23164,23164,246,246,968,924,924,44,44,5368,5362,5362,6,6
17/03/2020 10:20,2019,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,904,904,904,0,0
17/03/2020 10:20,2019,Other UK Airports,LIVERPOOL (JOHN LENNON),24565,24180,24180,385,176,1662,1589,1589,73,48,8749,8640,8640,109,99
17/03/2020 10:20,2019,Other UK Airports,LYDD,7,0,0,7,7,5,0,0,5,5,1,0,0,1,1
17/03/2020 10:20,2019,Other UK Airports,MANCHESTER,123231,113920,113501,9311,9281,37849,35249,35249,2600,2597,34846,34772,34528,74,74
17/03/2020 10:20,2019,Other UK Airports,NEWCASTLE,24321,23864,23864,457,72,3264,3250,3250,14,13,12584,12500,12500,84,52
17/03/2020 10:20,2019,Other UK Airports,NEWQUAY,1190,1185,1185,5,5,4,0,0,4,4,7012,7010,7010,2,2
17/03/2020 10:20,2019,Other UK Airports,NORWICH,3375,2743,2743,632,632,11435,4,4,11431,11431,4919,4896,4896,23,23
17/03/2020 10:20,2019,Other UK Airports,PRESTWICK,4138,4103,3730,35,18,422,372,0,50,4,59,3,3,56,23
17/03/2020 10:20,2019,Other UK Airports,SCATSTA,0,0,0,0,0,3203,0,0,3203,3203,1617,0,0,1617,1617
17/03/2020 10:20,2019,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:20,2019,Other UK Airports,SOUTHAMPTON,9649,9460,9453,189,189,200,200,200,0,0,22680,22646,22632,34,34
17/03/2020 10:20,2019,Other UK Airports,STORNOWAY,2,0,0,2,2,0,0,0,0,0,5874,5750,5750,124,9
17/03/2020 10:20,2019,Other UK Airports,SUMBURGH,0,0,0,0,0,4174,56,56,4118,4116,8426,6533,6532,1893,1891
17/03/2020 10:20,2019,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,1849,1804,1804,45,45,2,0,0,2,2,1779,1764,1764,15,15
17/03/2020 10:20,2019,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,1600,1600,1597,0,0
17/03/2020 10:20,2019,Other UK Airports,WICK JOHN O GROATS,0,0,0,0,0,0,0,0,0,0,1397,1396,1396,1,1
17/03/2020 10:20,2019,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,4702,4702,4683,0,0
17/03/2020 10:20,2019,Non UK Reporting Airports,GUERNSEY,203,115,115,88,87,24,18,18,6,6,22803,20859,20840,1944,153
17/03/2020 10:20,2019,Non UK Reporting Airports,ISLE OF MAN,1285,1226,1226,59,59,39,29,29,10,10,12206,11671,11671,535,2
17/03/2020 10:20,2019,Non UK Reporting Airports,JERSEY,692,391,391,301,301,78,72,72,6,6,24202,23956,23226,246,38

