rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
17/03/2020 10:38,2019,1,1,London Area Airports,GATWICK,46576473,32131163,182,7701545,0,4068390,579,2563088,190,95738,736,14862,0
17/03/2020 10:38,2019,1,1,London Area Airports,HEATHROW,80890031,42091207,235,12281157,800,26416107,2407,94990,0,2181,0,947,0
17/03/2020 10:38,2019,1,1,London Area Airports,LONDON CITY,5122271,3241930,0,1483962,0,395820,0,221,0,328,0,10,0
17/03/2020 10:38,2019,1,1,London Area Airports,LUTON,18216207,10374053,629,7320989,1489,266975,0,236138,188,9852,0,5894,0
17/03/2020 10:38,2019,1,1,London Area Airports,SOUTHEND,2035535,1135536,0,895509,0,4365,0,0,0,125,0,0,0
17/03/2020 10:38,2019,1,1,London Area Airports,STANSTED,28124292,5260688,0,21371485,0,1118851,0,349339,0,21647,0,2282,0
17/03/2020 10:38,2019,1,3,Other UK Airports,ABERDEEN,2912883,1455534,52,726600,0,96929,88,591283,0,42149,0,248,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BARRA,14599,14599,0,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2455259,2035598,0,417348,0,0,0,1591,0,675,0,47,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BELFAST INTERNATIONAL,6278443,5120744,0,909496,0,0,0,224377,0,21454,189,2183,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BENBECULA,34691,34656,35,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BIGGIN HILL,2262,0,0,0,0,0,0,554,0,1640,0,68,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BIRMINGHAM,12650607,5026832,1102,4912387,1064,1333824,691,1345373,551,23872,535,4168,208
17/03/2020 10:38,2019,1,3,Other UK Airports,BLACKPOOL,15213,0,0,0,0,0,0,15213,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BOURNEMOUTH,803307,17152,180,564960,0,10936,0,187893,0,10359,0,11827,0
17/03/2020 10:38,2019,1,3,Other UK Airports,BRISTOL,8964242,5614294,780,2534390,337,379,0,758831,3446,38378,0,13407,0
17/03/2020 10:38,2019,1,3,Other UK Airports,CAMPBELTOWN,8086,7975,111,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,CARDIFF WALES,1656085,481344,556,444015,151,90681,212,622973,246,15484,0,423,0
17/03/2020 10:38,2019,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),203777,67894,0,135517,0,0,0,366,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,DONCASTER SHEFFIELD,1407862,217197,0,690719,0,1088,0,491165,0,7493,0,200,0
17/03/2020 10:38,2019,1,3,Other UK Airports,DUNDEE,20917,20470,0,0,0,0,0,50,0,376,0,21,0
17/03/2020 10:38,2019,1,3,Other UK Airports,DURHAM TEES VALLEY,150735,20813,2911,118948,0,0,0,863,0,7200,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4675411,1874366,0,2284573,0,0,0,493322,755,18211,318,3866,0
17/03/2020 10:38,2019,1,3,Other UK Airports,EDINBURGH,14737497,7759394,470,5578737,149,1172811,2912,196386,0,25953,0,685,0
17/03/2020 10:38,2019,1,3,Other UK Airports,EXETER,1021784,717099,79,73253,0,0,0,208829,0,9074,0,13450,0
17/03/2020 10:38,2019,1,3,Other UK Airports,GLASGOW,8847100,6262557,1599,1368408,660,765080,419,419683,635,22692,335,4794,238
17/03/2020 10:38,2019,1,3,Other UK Airports,HUMBERSIDE,204463,20759,2290,135039,0,0,0,26270,16,19750,339,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,INVERNESS,938232,832350,504,98563,0,0,0,742,0,4050,0,2023,0
17/03/2020 10:38,2019,1,3,Other UK Airports,ISLAY,34992,34771,221,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),93927,93927,0,0,0,0,0,0,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,KIRKWALL,172625,161321,11109,0,0,0,0,195,0,0,0,0,0
17/03/2020 10:38,2019,1,3,Other UK Airports,LANDS END (ST JUST),64056,63847,209,0,0,0,0,0,0,0,0,0,0
